File Name,Replicate,Sample Type,Analyte Concentration
20201027_LRH_MM_IT_A_1.raw,A_1,Solvent,0
20201027_LRH_MM_IT_A_2.raw,A_2,Solvent,0
20201027_LRH_MM_IT_A_3.raw,A_3,Solvent,0
20201027_LRH_MM_IT_B_1.raw,B_1,Standard,0.005
20201027_LRH_MM_IT_B_2.raw,B_2,Standard,0.005
20201027_LRH_MM_IT_B_3.raw,B_3,Standard,0.005
20201027_LRH_MM_IT_C_1.raw,C_1,Standard,0.01
20201027_LRH_MM_IT_C_2.raw,C_2,Standard,0.01
20201027_LRH_MM_IT_C_3.raw,C_3,Standard,0.01
20201027_LRH_MM_IT_D_1.raw,D_1,Standard,0.03
20201027_LRH_MM_IT_D_2.raw,D_2,Standard,0.03
20201027_LRH_MM_IT_D_3.raw,D_3,Standard,0.03
20201027_LRH_MM_IT_E_1.raw,E_1,Standard,0.05
20201027_LRH_MM_IT_E_2.raw,E_2,Standard,0.05
20201027_LRH_MM_IT_E_3.raw,E_3,Standard,0.05
20201027_LRH_MM_IT_F_1.raw,F_1,Standard,0.07
20201027_LRH_MM_IT_F_2.raw,F_2,Standard,0.07
20201027_LRH_MM_IT_F_3.raw,F_3,Standard,0.07
20201027_LRH_MM_IT_G_1.raw,G_1,Standard,0.1
20201027_LRH_MM_IT_G_2.raw,G_2,Standard,0.1
20201027_LRH_MM_IT_G_3.raw,G_3,Standard,0.1
20201027_LRH_MM_IT_H_1.raw,H_1,Standard,0.3
20201027_LRH_MM_IT_H_2.raw,H_2,Standard,0.3
20201027_LRH_MM_IT_H_3.raw,H_3,Standard,0.3
20201027_LRH_MM_IT_I_1.raw,I_1,Standard,0.5
20201027_LRH_MM_IT_I_2.raw,I_2,Standard,0.5
20201027_LRH_MM_IT_I_3.raw,I_3,Standard,0.5
20201027_LRH_MM_IT_J_1.raw,J_1,Standard,0.7
20201027_LRH_MM_IT_J_2.raw,J_2,Standard,0.7
20201027_LRH_MM_IT_J_3.raw,J_3,Standard,0.7
20201027_LRH_MM_IT_K_1.raw,K_1,Standard,1
20201027_LRH_MM_IT_K_2_2.raw,K_2,Standard,1
20201027_LRH_MM_IT_K_3.raw,K_3,Standard,1
